"Duration..in.seconds.","RecordedDate","ResponseId","dscore","Age","Gender","NaturalSc_Binary","IAT_taken","Bird_knowledge","Social_media","Bird_plumage","dscore2"
"531","2024-08-21 21:25:00","R_6RpDZ18ENOzUXIH",1.14,"5","2",0,"2","1","0","0",1.144181091
"452","2024-08-23 08:22:00","R_3nUX8tCs9UlRskw",1.03,"2","1",0,"1","0","0","0",1.032550053
"389","2024-08-23 08:23:00","R_6kIzhf5HhXEHw2e",0.64,"2","2",0,"1","1","0","0",0.639832617
"756","2024-08-23 09:36:00","R_6CeuhJJsebTVfPQ",0.71,"2","1",0,"2","0","0","1",0.706832683
"440","2024-08-23 10:15:00","R_71o3ymXPFbsH56W",0.64,"2","2",0,"1","1","0","1",0.638262115
"488","2024-08-23 10:15:00","R_1TRYGZGCXDLajKT",1.19,"2","2",1,"1","0","0","1",1.185716641
"372","2024-08-23 10:24:00","R_7GwfaucJFcOw76e",0.84,"2","2",0,"1","1","0","0",0.839735985
"385","2024-08-23 11:01:00","R_7ns7yjUOlJEMHWV",0.49,"2","2",0,"1","0","0","1",0.493931841
"543","2024-08-23 11:32:00","R_7PgG0NSA6jAOgjy",1.21,"2","2",0,"1","1","0","0",1.205281187
"394","2024-08-23 11:32:00","R_1WzfS3ZgJcqkqml",0.23,"2","2",0,"1","1","0","0",0.229353562
"483","2024-08-23 11:38:00","R_7nMXJ2wW1rc0baN",1.14,"2","2",0,"7","1","0","0",1.138871044
"417","2024-08-23 12:48:00","R_7DG3A7PNY5yhnmN",1.13,"2","2",1,"1","1","1","1",1.129547279
"884","2024-08-23 13:09:00","R_1HHwoq82j2cKbay",1.26,"2","2",0,"1","1","0","1",1.260335339
"327","2024-08-23 13:13:00","R_5FFcxPjWLvBmSCU",1.04,"2","2",0,"1","0","0","1",1.04159738
"412","2024-08-23 14:09:00","R_31gyJltfyu9ccoH",0.85,"2","2",0,"7","0","0","1",0.850795481
"455","2024-08-23 14:24:00","R_8kKYd7i6p88oNWS",0.73,"2","3",0,"1","1","0","0",0.728453158
"774","2024-08-23 14:45:00","R_1PO5vQCFa9EiuhH",0.97,"2","2",0,"1","0","0","0",0.967989319
"363","2024-08-23 14:53:00","R_1nJIC15jeS35S0E",1.2,"2","1",0,"1","1","1","0",1.200099756
"374","2024-08-23 14:54:00","R_3twMeFdLL8rmbK1",0.44,"2","2",0,"1","0","0","0",0.443017002
