Sex,Treatment,Account,Species,date,Likes,Block,Impression,Reach,biominal_right,proportion
M,M,TheFeathered_Life ,Indian Peafowl ,04.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Indian Peafowl ,04.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Indian Peafowl ,04.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
F,F,beak_beyond (F2),Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
F,E,Birds_near_you011,Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
M,M,plumageparadise,Blood pheasant ,04.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Blood pheasant ,04.07.2023,2,3,25,23,1,0.086956522
M,E,SkywardSquad ,Blood pheasant ,04.07.2023,1,3,1,1,1,1
M,M,Bird.NerdNation ,Reeve's pheasant ,04.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Reeve's pheasant ,04.07.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Reeve's pheasant ,04.07.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Blyth's paradise-flycatcher ,04.07.2023,2,5,2,2,1,1
F,F,_Avian_Adventures,Blyth's paradise-flycatcher ,04.07.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Blyth's paradise-flycatcher ,04.07.2023,2,5,2,2,1,1
M,M,TheFeathered_Life ,Northern Cardinal,07.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Northern Cardinal,07.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Northern Cardinal,07.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Red siskin ,07.07.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Red siskin ,07.07.2023,0,2,1,1,0,0
F,E,Birds_near_you011,Red siskin ,07.07.2023,0,2,1,1,0,0
F,F,_Feathered_Fotos,Asian Koel,07.07.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Asian Koel,07.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Dusky grouse ,07.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Dusky grouse ,07.07.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Dusky grouse ,07.07.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Superb Parrot,07.07.2023,0,5,1,1,0,0
F,F,_Avian_Adventures,Superb Parrot,07.07.2023,1,5,1,1,1,1
F,E,BeakandBeauty ,Superb Parrot,07.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Westen Parotia,11.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Westen Parotia,11.07.2023,0,1,1,1,0,0
M,E,Chirp_Chronicles,Westen Parotia,11.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Anna's hummingbird ,11.07.2023,2,2,3,3,1,0.666666667
F,F,beak_beyond (F2),Anna's hummingbird ,11.07.2023,1,2,3,3,1,0.333333333
M,M,plumageparadise,Australian King Parrot ,11.07.2023,1,3,1,1,1,1
F,E,SkywardSquad ,Australian King Parrot ,11.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Wood duck ,11.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Wood duck ,11.07.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Wood duck ,11.07.2023,0,4,1,1,0,0
M,M,The_majestic_winged ,Reeve's pheasant ,11.07.2023,1,5,1,1,1,1
F,F,_Avian_Adventures,Reeve's pheasant ,11.07.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Reeve's pheasant ,11.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Eastern Bluebird,14.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Eastern Bluebird,14.07.2023,1,1,1,1,1,1
F,E,Chirp_Chronicles,Eastern Bluebird,14.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Ruby-throated hummingbird ,14.07.2023,0,2,1,1,0,0
F,F,beak_beyond (F2),Ruby-throated hummingbird ,14.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Ruby-throated hummingbird ,14.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Westen Parotia,14.07.2023,0,3,1,1,0,0
F,F,_Feathered_Fotos,Westen Parotia,14.07.2023,0,3,1,1,0,0
M,E,SkywardSquad ,Westen Parotia,14.07.2023,1,3,2,2,1,0.5
M,M,Bird.NerdNation ,Andean Cock-of-the-rock,14.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Andean Cock-of-the-rock,14.07.2023,1,4,1,1,1,1
F,E,Feathered_wonder_ss,Andean Cock-of-the-rock,14.07.2023,0,4,1,1,0,0
M,M,The_majestic_winged ,Large Niltava ,14.07.2023,1,5,1,1,1,1
F,F,_Avian_Adventures,Large Niltava ,14.07.2023,1,5,1,1,1,1
M,E,BeakandBeauty ,Large Niltava ,14.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Wild Turkey,18.07.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Wild Turkey,18.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Wild Turkey,18.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Blyth's paradise-flycatcher ,18.07.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Blyth's paradise-flycatcher ,18.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Blyth's paradise-flycatcher ,18.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Superb Fairywrens ,18.07.2023,1,3,1,1,1,1
F,F,_Feathered_Fotos,Superb Fairywrens ,18.07.2023,1,3,1,1,1,1
F,E,SkywardSquad ,Superb Fairywrens ,18.07.2023,0,3,0,0,0,0
F,F,Birding_bliss23,Long-tailed Widowbirds ,18.07.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Long-tailed Widowbirds ,18.07.2023,1,4,1,1,1,1
M,M,The_majestic_winged ,Kalij Pheasant,18.07.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Kalij Pheasant,18.07.2023,1,5,1,1,1,1
M,E,BeakandBeauty ,Kalij Pheasant,18.07.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Kalij Pheasant,21.07.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Kalij Pheasant,21.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Kalij Pheasant,21.07.2023,2,1,2,2,1,1
M,M,Winged_Wonderss,Northern Cardinal,21.07.2023,0,2,1,1,0,0
F,F,beak_beyond (F2),Northern Cardinal,21.07.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Northern Cardinal,21.07.2023,0,2,0,0,0,0
F,F,_Feathered_Fotos,Mandarin duck ,21.07.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Mandarin duck ,21.07.2023,3,3,3,3,1,1
M,M,Bird.NerdNation ,Superb Lyrebird ,21.07.2023,0,4,1,1,0,0
F,F,Birding_bliss23,Superb Lyrebird ,21.07.2023,0,4,1,1,0,0
F,E,Feathered_wonder_ss,Superb Lyrebird ,21.07.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Australian King Parrot ,21.07.2023,3,5,4,4,1,0.75
F,F,_Avian_Adventures,Australian King Parrot ,21.07.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Indian Paradise Flycatcher,25.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Indian Paradise Flycatcher,25.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Indian Paradise Flycatcher,25.07.2023,0,1,1,1,0,0
F,E,Birds_near_you011,Long-tailed Widowbirds ,25.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Dusky grouse ,25.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Dusky grouse ,25.07.2023,1,3,1,1,1,1
M,E,SkywardSquad ,Dusky grouse ,25.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Kalij Pheasant,25.07.2023,1,4,1,1,1,1
F,F,Birding_bliss23,Kalij Pheasant,25.07.2023,0,4,1,1,0,0
F,E,Feathered_wonder_ss,Kalij Pheasant,25.07.2023,1,4,1,1,1,1
M,M,The_majestic_winged ,Superb Fairywrens ,25.07.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Superb Fairywrens ,25.07.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Magnificient Frigatebird,28.07.2023,0,1,1,1,0,0
F,F,Feathered_Fables,Magnificient Frigatebird,28.07.2023,1,1,2,2,1,0.5
M,E,Chirp_Chronicles,Magnificient Frigatebird,28.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Grandala ,28.07.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Grandala ,28.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Grandala ,28.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
