SM_handles,Date_of_post,Date_of_first_Post,Sex,Species,Likes,Total_Followers_Now,Total_Posts,Date_of_data_collected,Notes
Audubon_Florida,03-18-2024,08-30-2018,M,House Finch,78,6228,791,04-16-2024,"NGO, Conservation focused "
Audubon_Florida,12-04-2023,08-30-2018,F,Painted Bunting,74,6228,791,04-16-2024,
Audubon_Florida,10-30-2023,08-30-2018,M,Eastern Blue bird,115,6228,791,04-16-2024,
Audubon_Florida,10-23-2023,08-30-2018,M,Common Grackle,87,6228,791,04-16-2024,
Audubon_Florida,04-17-2023,08-30-2018,M,Rose-breasted Grosbeaks,174,6228,791,04-16-2024,
Audubon_Florida,03-17-2023,08-30-2018,M,Blue Grosbeak,97,6228,791,04-16-2024,
Audubon_Florida,01-25-2023,08-30-2018,M,Vermillion Flycatcher,121,6228,791,04-16-2024,
Audubon_Florida,01-11-2023,08-30-2018,M,Ruddy Duck,129,6228,791,04-16-2024,
Audubon_Florida,01-09-2023,08-30-2018,M,Painted Bunting,107,6228,791,04-16-2024,
Audubon_Florida,11-24-2022,08-30-2018,F,Wild Turkey,42,6228,791,04-16-2024,
Audubon_Florida,09-12-2022,08-30-2018,F,Northern Cardinal,67,6228,791,04-16-2024,
Audubon_Florida,05-11-2021,08-30-2018,M,Rose-breasted Grosbeaks,70,6228,791,04-16-2024,
Audubon_Florida,11-25-2020,08-30-2018,M,Wild Turkey,136,6228,791,04-16-2024,
Audubon_Florida,08-24-2020,08-30-2018,M,Summer Tanager,127,6228,791,04-16-2024,
Audubon_Florida,06-29-2020,08-30-2018,M,Eastern Meadowlark,90,6228,791,04-16-2024,
Audubon_Florida,04-06-2020,08-30-2018,F,Ruby-throated hummingbird,80,6228,791,04-16-2024,
Audubon_Florida,02-10-2020,08-30-2018,M,American Robin,99,6228,791,04-16-2024,
Audubon_Florida,12-16-2019,08-30-2018,M,Rose-breasted Grosbeaks,93,6228,791,04-16-2024,
Audubon_Florida,11-25-2019,08-30-2018,M,Wood Duck,84,6228,791,04-16-2024,
Audubon_Florida,11-14-2019,08-30-2018,M,Northern Parula,95,6228,791,04-16-2024,
BIRDS ON EARTH,04-10-2024,01-22-2018,M,Rose Ringed Parakeet,6290,1300000,2570,04-16-2024,Features various bird photos
BIRDS ON EARTH,03-28-2024,01-22-2018,M,Mandarin Duck,10345,1300000,2570,04-16-2024,
BIRDS ON EARTH,03-23-2024,01-22-2018,M,Regent Bowerbird,16494,1300000,2570,04-16-2024,
BIRDS ON EARTH,01-16-2024,01-22-2018,M,Pink Robin,19409,1300000,2570,04-16-2024,
BIRDS ON EARTH,01-06-2024,01-22-2018,M,Golden Pheasant,6902,1300000,2570,04-16-2024,
BIRDS ON EARTH,01-05-2024,01-22-2018,M,Asian Paradise Flycatcher,8383,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-31-2023,01-22-2018,M,Bearded reedling,10527,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-30-2023,01-22-2018,M,Gouldian Finch,12393,1300000,2570,04-16-2024,
BIRDS ON EARTH,11-27-2023,01-22-2018,M,Goldcrest,41677,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-27-2023,01-22-2018,M,Northern Cardinal,8279,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-22-2023,01-22-2018,M,Violet-backed Starling,9989,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-20-2023,01-22-2018,M,Greater bird-of-paradise,12485,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-18-2023,01-22-2018,M,Northern Cardinal,7202,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-08-2023,01-22-2018,M,Mandarin Duck,9188,1300000,2570,04-16-2024,
BIRDS ON EARTH,12-01-2023,01-22-2018,M,Red Bird-of-paradise,19101,1300000,2570,04-16-2024,
BIRDS ON EARTH,11-25-2023,01-22-2018,M,Mandarin Duck,11324,1300000,2570,04-16-2024,
BIRDS ON EARTH,11-24-2023,01-22-2018,F,Kestrel,6969,1300000,2570,04-16-2024,
BIRDS ON EARTH,11-17-2023,01-22-2018,M,Eastern Bluebird,13769,1300000,2570,04-16-2024,
BIRDS ON EARTH,11-03-2023,01-22-2018,M,Bullfinch,13562,1300000,2570,04-16-2024,
BIRDS ON EARTH,10-31-2023,01-22-2018,M,Mandarin Duck,12358,1300000,2570,04-16-2024,
Cornelbirds,04-15-2024,10-01-2018,M,Slaty Flowepiercer,1693,214000,1744,04-16-2024,"Leading Organization for study, appreciation & conservation of birds"
Cornelbirds,03-14-2024,10-01-2018,M,Lewis's Woodpecker,4855,214000,1744,04-16-2024,
Cornelbirds,03-12-2024,10-01-2018,M,Northern Cardinal,5818,214000,1744,04-16-2024,
Cornelbirds,02-28-2024,10-01-2018,M,Ward's Trogon,2760,214000,1744,04-16-2024,
Cornelbirds,02-21-2024,10-01-2018,M,Red cheeked Cordonbleu,5189,214000,1744,04-16-2024,
Cornelbirds,01-20-2024,10-01-2018,M,Rose Throated Becard,5324,214000,1744,04-16-2024,
Cornelbirds,02-19-2024,10-01-2018,M,Pink Robin,3884,214000,1744,04-16-2024,
